No X1 X2 X3 X4 X5 Y
1 0.016 0.177 0.4208 1.038 0.022 0
2 1.0957 0.19 0.2224 0.816 0.933 1
3 0.2543 0.206 0.5264 0.4 0.015 1
4 1.2257 0.224 0.3272 1.05 1.049 1
5 0.3872 0.228 0.2256 0.98 0.998 1
6 1.6066 0.231 0.2832 1.054 1.009 1
7 1.1594 0.252 0.3344 0.946 0.987 0
8 0.3424 0.26 0.3408 0.196 0.126 1
9 0.8604 0.261 0.2616 0.994 0.996 0
10 0.5107 0.264 0.2352 0.888 0.004 1
11 0.8981 0.271 0.1536 0.688 0.857 1
12 0.0878 0.275 0.2072 0.732 0.908 1
13 0.2384 0.297 0.2336 0.036 0.099 0
14 0.8591 0.308 0.4208 0.132 1.031 1
15 0.5861 0.309 0.1656 0.836 0.896 1
16 0.6329 0.311 -0.24 -0.134 0.611 0
17 0.6173 0.311 0.1256 0.714 0.848 0
18 0.7811 0.326 0.2896 0.834 0.909 1
19 0.3937 0.329 0.2552 0.024 0.493 0
20 0.1211 0.055 0.3744 1.142 1.077 1
